Id,PostId,VoteTypeId,UserId,CreationDate,BountyAmount
"154306536","18236294","2","","2018-01-03 00:00:00",""
"154306537","47921983","2","","2018-01-03 00:00:00",""
"154306538","48066339","16","","2018-01-03 00:00:00",""
"154306539","12479570","2","","2018-01-03 00:00:00",""
"154306540","40214095","3","","2018-01-03 00:00:00",""
"154306541","31591589","2","","2018-01-03 00:00:00",""
"154306542","44909580","2","","2018-01-03 00:00:00",""
"154306543","7269668","2","","2018-01-03 00:00:00",""
"154306544","25965255","2","","2018-01-03 00:00:00",""
"154306545","8843062","5","3908170","2018-01-03 00:00:00",""
"154306546","24298000","2","","2018-01-03 00:00:00",""
"154306547","8843062","2","","2018-01-03 00:00:00",""
"154306548","37051114","3","","2018-01-03 00:00:00",""
"154306549","48068964","5","4009660","2018-01-03 00:00:00",""
"154306550","25377637","5","2106900","2018-01-03 00:00:00",""
"154306551","8843489","2","","2018-01-03 00:00:00",""
"154306552","886982","2","","2018-01-03 00:00:00",""
"154306553","31590152","2","","2018-01-03 00:00:00",""
"154306554","29928867","3","","2018-01-03 00:00:00",""
"154306555","16465556","2","","2018-01-03 00:00:00",""
"154306556","5072145","2","","2018-01-03 00:00:00",""
"154306557","21641371","3","","2018-01-03 00:00:00",""
"154306558","48042955","16","","2018-01-03 00:00:00",""
"154306559","42364588","5","759732","2018-01-03 00:00:00",""
"154306560","886955","2","","2018-01-03 00:00:00",""
"154306561","48069113","10","","2018-01-03 00:00:00",""
"154306562","48066396","2","","2018-01-03 00:00:00",""
"154306563","48069281","3","","2018-01-03 00:00:00",""
"154306564","15953743","3","","2018-01-03 00:00:00",""
"154306565","1178335","2","","2018-01-03 00:00:00",""
"154306566","48064934","2","","2018-01-03 00:00:00",""
"154306567","48049723","2","","2018-01-03 00:00:00",""
"154306568","1178360","2","","2018-01-03 00:00:00",""
"154306569","14713764","3","","2018-01-03 00:00:00",""
"154306570","5843035","2","","2018-01-03 00:00:00",""
"154306571","48062538","10","","2018-01-03 00:00:00",""
"154306572","5843035","5","2969996","2018-01-03 00:00:00",""
"154306573","10544494","3","","2018-01-03 00:00:00",""
"154306574","48032865","1","","2018-01-03 00:00:00",""
"154306575","5843078","2","","2018-01-03 00:00:00",""
"154306576","25874438","16","","2018-01-03 00:00:00",""
"154306577","48016793","2","","2018-01-03 00:00:00",""
"154306578","48069181","3","","2018-01-03 00:00:00",""
"154306579","18296281","3","","2018-01-03 00:00:00",""
"154306580","37246712","2","","2018-01-03 00:00:00",""
"154306581","11174819","2","","2018-01-03 00:00:00",""
"154306582","37246473","2","","2018-01-03 00:00:00",""
"154306583","47995799","9","","2018-01-03 00:00:00","50"
"154306584","20580897","5","824997","2018-01-03 00:00:00",""
"154306585","48067423","3","","2018-01-03 00:00:00",""
"154306586","9236558","3","","2018-01-03 00:00:00",""
"154306587","46838944","3","","2018-01-03 00:00:00",""
"154306588","11921118","2","","2018-01-03 00:00:00",""
"154306589","46842062","3","","2018-01-03 00:00:00",""
"154306590","44530606","2","","2018-01-03 00:00:00",""
"154306591","11860287","2","","2018-01-03 00:00:00",""
"154306592","46847981","3","","2018-01-03 00:00:00",""
"154306594","29394711","2","","2018-01-03 00:00:00",""
"154306595","46852512","3","","2018-01-03 00:00:00",""
"154306596","16773257","2","","2018-01-03 00:00:00",""
"154306597","35603790","2","","2018-01-03 00:00:00",""
"154306599","46840567","3","","2018-01-03 00:00:00",""
"154306601","46864029","3","","2018-01-03 00:00:00",""
