Id,PostId,VoteTypeId,UserId,CreationDate,BountyAmount
"154243702","10492870","2","","2018-01-02 00:00:00",""
"154243703","15828389","2","","2018-01-02 00:00:00",""
"154243704","48054215","2","","2018-01-02 00:00:00",""
"154243705","48054232","10","","2018-01-02 00:00:00",""
"154243706","37734166","5","7956877","2018-01-02 00:00:00",""
"154243707","48053927","3","","2018-01-02 00:00:00",""
"154243708","48054105","3","","2018-01-02 00:00:00",""
"154243709","2474015","2","","2018-01-02 00:00:00",""
"154243710","48054133","2","","2018-01-02 00:00:00",""
"154243711","48052529","2","","2018-01-02 00:00:00",""
"154243712","11556629","2","","2018-01-02 00:00:00",""
"154243713","47759249","3","","2018-01-02 00:00:00",""
"154243714","14283285","2","","2018-01-02 00:00:00",""
"154243715","48053900","5","6738706","2018-01-02 00:00:00",""
"154243716","26104098","2","","2018-01-02 00:00:00",""
"154243717","10492865","2","","2018-01-02 00:00:00",""
"154243718","6768793","2","","2018-01-02 00:00:00",""
"154243719","10492892","2","","2018-01-02 00:00:00",""
"154243721","35470605","2","","2018-01-02 00:00:00",""
"154243722","48053897","3","","2018-01-02 00:00:00",""
"154243723","43407155","2","","2018-01-02 00:00:00",""
"154243724","26760073","2","","2018-01-02 00:00:00",""
"154243725","9664996","2","","2018-01-02 00:00:00",""
"154243726","4326845","2","","2018-01-02 00:00:00",""
"154243727","47199250","2","","2018-01-02 00:00:00",""
"154243728","23613658","2","","2018-01-02 00:00:00",""
"154243729","46455497","2","","2018-01-02 00:00:00",""
"154243730","11091623","2","","2018-01-02 00:00:00",""
"154243731","47673931","2","","2018-01-02 00:00:00",""
"154243732","37372259","2","","2018-01-02 00:00:00",""
"154243733","6768831","2","","2018-01-02 00:00:00",""
"154243734","179147","2","","2018-01-02 00:00:00",""
"154243735","7642299","3","","2018-01-02 00:00:00",""
"154243736","48050526","3","","2018-01-02 00:00:00",""
"154243737","32073740","2","","2018-01-02 00:00:00",""
"154243738","45465768","2","","2018-01-02 00:00:00",""
"154243739","31354559","5","7558413","2018-01-02 00:00:00",""
"154243740","48054260","3","","2018-01-02 00:00:00",""
"154243741","47658890","2","","2018-01-02 00:00:00",""
"154243742","20035319","2","","2018-01-02 00:00:00",""
"154243744","48054256","10","","2018-01-02 00:00:00",""
"154243745","13878585","2","","2018-01-02 00:00:00",""
"154243746","7301218","2","","2018-01-02 00:00:00",""
"154243748","2811319","2","","2018-01-02 00:00:00",""
"154243749","48053645","3","","2018-01-02 00:00:00",""
"154243750","2811372","2","","2018-01-02 00:00:00",""
"154243751","37405385","2","","2018-01-02 00:00:00",""
"154243752","9444259","2","","2018-01-02 00:00:00",""
"154243753","14748732","2","","2018-01-02 00:00:00",""
"154243756","27986163","2","","2018-01-02 00:00:00",""
"154243757","14703806","2","","2018-01-02 00:00:00",""
"154243758","13387365","3","","2018-01-02 00:00:00",""
"154243759","17511281","2","","2018-01-02 00:00:00",""
"154243761","31049571","2","","2018-01-02 00:00:00",""
"154243762","2341388","2","","2018-01-02 00:00:00",""
"154243763","2667355","2","","2018-01-02 00:00:00",""
"154243764","48054260","3","","2018-01-02 00:00:00",""
"154243765","2667376","2","","2018-01-02 00:00:00",""
"154243767","48053746","3","","2018-01-02 00:00:00",""
"154243768","44212202","2","","2018-01-02 00:00:00",""
"154243769","7394504","2","","2018-01-02 00:00:00",""
"154243770","48052022","2","","2018-01-02 00:00:00",""
"154243771","48054144","2","","2018-01-02 00:00:00",""
"154243772","44212249","2","","2018-01-02 00:00:00",""
"154243773","1495470","2","","2018-01-02 00:00:00",""
"154243774","2667374","2","","2018-01-02 00:00:00",""
"154243775","48054246","3","","2018-01-02 00:00:00",""
"154243776","48053624","2","","2018-01-02 00:00:00",""
"154243777","15211760","2","","2018-01-02 00:00:00",""
"154243778","48053804","10","","2018-01-02 00:00:00",""
"154243779","48054215","2","","2018-01-02 00:00:00",""
"154243780","41461002","2","","2018-01-02 00:00:00",""
"154243781","48053795","16","","2018-01-02 00:00:00",""
"154243782","48052491","2","","2018-01-02 00:00:00",""
"154243783","35189008","2","","2018-01-02 00:00:00",""
"154243784","4744499","2","","2018-01-02 00:00:00",""
"154243785","46318981","16","","2018-01-02 00:00:00",""
"154243786","1982081","2","","2018-01-02 00:00:00",""
"154243787","44184514","2","","2018-01-02 00:00:00",""
"154243788","44184310","2","","2018-01-02 00:00:00",""
"154243789","44183795","2","","2018-01-02 00:00:00",""
"154243790","5466329","2","","2018-01-02 00:00:00",""
"154243791","42646205","2","","2018-01-02 00:00:00",""
"154243792","5596984","2","","2018-01-02 00:00:00",""
"154243793","32951824","2","","2018-01-02 00:00:00",""
"154243794","48052835","16","","2018-01-02 00:00:00",""
"154243795","45998383","2","","2018-01-02 00:00:00",""
"154243796","925609","2","","2018-01-02 00:00:00",""
"154243797","48052924","16","","2018-01-02 00:00:00",""
